original_shape2D_Elongation,original_shape2D_MajorAxisLength,original_shape2D_MaximumDiameter,original_shape2D_MeshSurface,original_shape2D_MinorAxisLength,original_shape2D_Perimeter,original_shape2D_PerimeterSurfaceRatio,original_shape2D_PixelSurface,original_shape2D_Sphericity,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,label
0.990603447302907,248.61776187172183,235.79016094824652,30037.5,246.28161197086087,1931.2976900454942,0.06429621939394072,30060.0,0.31811753082078925,96.0,126.0,360587520.0,1.4887079219441635,17.0,6.980704497345779,246.0,10.876870220525902,108.56134397870925,108.0,62.0,184.0,7.454816423874772,109.52439369551998,0.9574972746552766,360587520.0,0.4243356755108103,210.02740790762675,8.141920421893895,11.182626948217058,1.1830369605186115,1.6301019051047945,0.2175740826630387,0.764484877390078,0.1857283052180597,0.7300058884713574,0.18239968555399677,0.9119809317515042,0.910292676437604,0.9967103898737759,0.9797055944884916,-0.45882872544045866,0.8563144874523292,0.16203654420363944,2.7908397435454315,0.31985537728756114,2.2403681333125336,0.8079061654371645,0.48969318197275563,5.581679487090862,1.988181635411389,0.4619189969419583,3.6398690658519843,9956.87884231537,0.331233494421669,4.581868182021408,12755.530405854957,0.4804252428830519,8.164903526280773,60.42641383898869,487.04946773120423,9.13723150778941,0.1627713612834799,0.04493919896203226,0.3350610130520013,0.01422401065464754,1821.3910205500713,0.3166345977783559,0.9056609131453328,8.426212772290437,101.43245573704665,810.6002912964985,15.123639113502634,0.21029086310466302,5.080140971559279,1268.6377525021333,0.21782527349823877,0.19088489687292082,72.36658765338368,0.47586359669936895,3.952449072201981,0.12861007918241601,242.55508021390375,0.2594171980897366,1.6949824129943662,7.096256684491979,324374.6502673797,2609764.807486631,44953.42802171171,0.41735533758958127,314.0010695187166,0.3358300208756327,0.6006290003927239,3.507251034160772,0.30358184379608,4.486034135730539,0.031104457751164338,323341.04495982156,59.32224996355308,0.0005244600589478757,6.360223489236611,0.003098896224070461,0.025687037589639646,0
0.9480298897558556,249.70666141691822,246.0101623917191,26844.0,236.72937869438374,2377.5718600252007,0.08856995455316648,26866.0,0.24428392823749914,97.0,132.0,348261978.0,1.573044829325049,16.0,8.423077136383167,246.0,11.990078283419985,112.48068190277674,113.0,67.0,179.0,7.537107261897921,113.85484750725709,1.4016136902721104,348261978.0,0.4499874585393487,311.0224995871191,9.511415024460183,28.989737219052703,3.487672713637558,2.0556223992007787,0.2833428567060642,0.7575790840226938,0.2204804667176922,0.8221764488670631,0.23354811202145406,0.8990329982684461,0.8959703445163326,0.9957641189565378,0.9761699101992175,-0.4285827502742038,0.850878266721817,0.17631408715820812,3.0113680187739913,0.35469134095136445,2.3928563913766903,0.8241521583176096,0.5685942363079869,6.022736037547982,2.071326260351233,0.5847413139767107,3.757551289790277,7988.277748827514,0.2973378154108358,5.352486872088002,12089.363061118142,0.6172182794217704,9.497245589220576,57.8176133402814,532.3118811881188,7.408964384508115,0.14483159608541799,0.05582299409420252,0.5071970502635655,0.016375706719157074,1539.8544484397507,0.26049706697014635,1.416279930284025,10.234156962879458,84.94651372396864,779.4426398676706,10.195308792383328,0.19885151786915997,5.0493811828691095,1546.222897976981,0.25883594189794634,0.2195898161244696,62.967297700131695,0.5241058347533728,5.538941463354816,0.12885770742841648,270.39100932994063,0.22933927848171384,2.1898720972978496,9.014418999151824,182463.30788804073,1628709.2374893979,20820.797007569636,0.3577945153181431,402.46395250212043,0.3413604346922141,0.6051320773106355,4.497823128438425,0.2634168995647191,4.67079441233,0.043884463634333355,181944.05560987047,50.94036676171527,0.0005885633153292669,6.647205268903015,0.004505518853348218,0.023828123333897697,0
0.9313200263760245,254.99845655489364,266.4132128855474,28962.0,237.4851692845491,2135.280446102788,0.07372696796156301,28974.0,0.28252981402409827,92.0,114.0,310259762.0,1.4408760678477455,16.0,11.691552072824022,247.0,10.12245741617405,102.54172706564506,101.0,60.0,187.0,6.813416936130736,103.48049550297374,1.3361596061102166,310259762.0,0.4251044496307196,193.4071599357229,7.05646345280743,13.97294208086841,1.635292206031554,1.5628400423561726,0.20054003897337427,0.77238503047637,0.1640899907132081,0.6763552306108291,0.1729191888699766,0.9232480824342031,0.9215083794302278,0.9969915663050309,0.9821518281296789,-0.48930341023468593,0.860625424062768,0.13894103626205753,2.591502020388807,0.3400904400071447,2.1039058803316752,0.8273879917941289,0.41663794419018557,5.183004040777613,1.8680527822768966,0.44084502033238665,3.3129799945948677,11541.149789466419,0.3983278038747297,4.479494146295566,12316.97632360047,0.4636511218353976,7.0578794781528265,62.6492027334852,423.36015047974047,11.252661917931503,0.19299651173888485,0.0421536974420625,0.28326849018863015,0.015908620489809667,1425.4284087442024,0.28590471410277785,1.0596486969838992,8.00993923621941,127.75958760459123,793.3349919593247,24.47799787019547,0.25771701753877185,5.198290577621061,1102.6877637293019,0.2174791962403279,0.17163663974597917,91.15892062654532,0.47752038807952324,3.8030421580099283,0.16454536759393,236.3502415458937,0.2854471516254755,1.835777964479918,6.446859903381642,275504.1038647343,1716951.5736714976,51855.74409747041,0.5122271089393889,270.780193236715,0.3270292188849215,0.5927135202470923,3.081809367496162,0.3544672015932297,4.4626082916109615,0.0285773452060468,274279.6110586011,49.479259904316656,0.0006792704606583701,5.61848931027217,0.002613054477089196,0.03305754682417043,0
0.9036541193555071,235.11115070013764,252.1269521491108,29288.5,212.4591598365928,1449.0479066834719,0.04947497846197217,29293.0,0.4186689499492496,85.0,119.0,305394991.0,1.5451064047756278,9.0,12.13014600370144,244.0,10.359857971679277,100.51933909125047,99.0,56.0,188.0,5.008457595575511,102.10547476000959,2.350895528775527,305394991.0,0.4217366267506884,321.39044462515983,7.010904335737122,41.296906555075324,6.155851501006711,2.259803018117194,0.32422635431187724,0.7490813438581648,0.27327693300101624,0.9133993823756339,0.24804572207571185,0.8706319926230587,0.8683472168361223,0.9951218314393669,0.9701699965589914,-0.34364527147100604,0.7993382282940656,0.23946595231903883,2.5548010196490605,0.2822007714913883,2.496625661478871,0.7952841836918264,0.4477271922131062,5.10960203929812,2.152449964074637,0.646007343107268,4.084237797731365,5842.0742498207765,0.19943584644183854,5.027824451334947,12353.931007407913,0.6605792510575552,7.094118048680572,52.26323695080736,330.6192605741986,10.348151728832384,0.20219266022901156,0.05172056491847767,0.4051643033141142,0.015794920725139522,2437.45372691512,0.31331980715606017,1.1225916360164816,8.5495812460207,43.65160265631436,243.0347375836199,9.416378265795498,0.21979392723646551,4.812148406110545,1875.8017744825747,0.23751384454450425,0.2658997030007169,28.81459103979548,0.49519397117354585,4.520490374196645,0.12943025544165118,226.252208047105,0.22203357021305692,2.1332118598445047,8.804710500490676,230533.50834151127,990957.6957801767,55759.538265343675,0.3805776638427697,281.34543670264964,0.2760995453411675,0.5426442099985092,3.5584097886249904,0.24917954861642178,5.05551195010257,0.03478646775680197,229707.12922191797,94.63161358147994,0.0003944609621990149,8.637266765930724,0.005819063993777965,0.021626825755466258,0
0.8900936930968414,244.20465244698462,245.40986125255847,24615.0,217.36502096796713,2568.1231585774403,0.10433163349898193,24639.0,0.21656536656393324,100.0,133.0,342094162.0,1.593066291144069,25.0,5.8676408469288655,248.0,13.542673655534289,116.42250091318641,117.0,68.0,180.0,8.99926970780407,117.83146915824491,0.3053350424053795,342094162.0,0.4207059530101289,330.05640510953083,11.252024194007998,20.992494433575757,0.8077665018490345,1.9440542304735564,0.2362945846554663,0.7828944904722437,0.17688789285749684,0.7166637969995978,0.20463491401113154,0.9202033691721252,0.9173936910127901,0.9964863890525465,0.9809732837535375,-0.5112654642038003,0.8864614305117384,0.13602713543055733,3.290144321408568,0.3574102744400718,2.2543886228362418,0.8619308157134689,0.5294944956952269,6.580288642817138,1.9817834634822749,0.5450872037822558,3.4328108218027804,9530.92978611145,0.38682291432734484,5.199789455866747,10365.773976216567,0.6118566969658039,11.125410933885304,61.857502333698605,699.5786760826333,6.455756748882434,0.13042784750573796,0.05361198710769247,0.468528562380303,0.016702448877016142,1050.4779047593515,0.23102772792985177,1.5412163179490397,10.38227036204814,143.7369861655897,1693.4330497457395,13.62410382014533,0.22976405069520256,5.054145917250183,1321.1345216687207,0.2891456485129513,0.18410852713178294,113.35794446405197,0.5574932972838389,5.509392470124053,0.16109863951313871,286.36123748862605,0.2605652752398781,1.9527405590821667,8.078252957233849,191778.87807097362,1898999.8753412194,20143.67526392783,0.37762938091524145,368.0991810737034,0.334940110167155,0.600401878170012,3.7595370456459225,0.2676299399984,4.571604738521918,0.04460408295791225,191276.24533511727,29.118496068406678,0.0009393484515303053,5.282180151439814,0.0036404943279579613,0.029012921464354084,0
0.9853810183672967,233.07643513690985,230.6707610426601,27350.5,229.66909501262742,2015.9494936611004,0.07370795757522168,27364.0,0.29080905137426105,93.0,123.0,310551677.0,1.538503057338517,17.0,9.483481714425071,252.0,10.845366291524865,105.41591141645958,106.0,59.0,193.0,6.9287470418271155,106.53128081386845,1.0903161332571365,310551677.0,0.4167981822199362,236.39941208044414,7.838374634051577,17.5766538552312,1.64955476506861,1.7750173919871433,0.2579031681936877,0.7462293855183038,0.20900188039934275,0.7926499898787738,0.21353253344882783,0.9027756545900375,0.900315342888803,0.9969157559104488,0.9795272892809963,-0.42575688619768604,0.8467750204310495,0.1739455304974069,2.7311336887621604,0.31115036284011777,2.3552253157079455,0.7765269270449433,0.47348083483307624,5.46226737752432,2.0587808037490074,0.5082301400452076,3.769547191677506,8230.755518199094,0.30078773272179116,4.8952075780822355,11405.265458266334,0.5345962473226886,7.846952199970764,58.528723870779125,446.30850752813916,9.576700447317895,0.1807318674128549,0.04820978208629303,0.3613229444777662,0.016832600806323775,1659.9407575262728,0.28869183817730837,1.1022049294492529,8.424507960506572,75.35345082340012,568.1902160934039,12.107634969810718,0.2397129560170727,5.1093148989422925,1291.6592324420774,0.22393212828084913,0.2095636602835843,51.64424575803945,0.48513778392051077,4.165620499430271,0.14862137294876232,226.92735042735043,0.24244375045657096,2.1153800496749215,7.811965811965812,223891.88888888888,1770474.8504273505,31746.830708786532,0.44488430939406465,303.982905982906,0.32476806194754915,0.5901077142731009,3.5692442938891893,0.31790227964692525,4.689129676003801,0.03420552550796667,223037.20116516913,48.84534682117223,0.0005596887835833295,9.348761517964249,0.0029230121351797806,0.041680271573542864,0
0.9266978763675338,241.50792484820354,266.11275805567834,31278.5,223.80488108276015,2393.3464632807936,0.07651730304460871,31301.0,0.26195236200740313,110.0,143.0,483897023.0,1.453448847687281,23.0,4.922983985942575,239.0,13.320862273475097,123.21750103830549,120.0,72.0,167.0,9.932386569835664,124.33613663375283,0.242392889205058,483897023.0,0.4281979191193798,276.92231088243875,12.33743084838596,10.297006845889834,0.8166615248149752,1.4987793286479167,0.19871594729371783,0.765521899497318,0.15702909206028717,0.6600778414375242,0.17362659571626357,0.9275960419098855,0.9255801675206365,0.997027098974594,0.982993651573683,-0.5000575385424402,0.864533787779571,0.1279421159212427,3.46589143082775,0.35269224509700586,2.078099463158627,0.8229729155031869,0.46201271946846484,6.931782861655499,1.8353533233537602,0.4243738189854087,3.253552713135792,13251.371106354429,0.4233529633671266,4.462125087024903,13403.023066355707,0.46495799402322796,12.27209993290949,63.65243921919428,772.8590460368679,5.822399293423428,0.09966884719874126,0.043534623190594174,0.46680784983598134,0.009227055922182438,1381.6212072312157,0.26958093528914084,1.1494907275332686,12.593929648177532,207.2335998086868,2481.1373579075307,18.889865449495318,0.13987530503144546,5.183053556493718,1233.8876075093503,0.23840638368963477,0.1633094789303856,167.6841521381191,0.5016643295281474,6.099184630925808,0.09119317584576543,212.85130890052355,0.22288095172829692,1.8500523560209425,9.690052356020942,293556.61884816753,3344023.707853403,27753.80312667545,0.28002999637900533,340.7842931937173,0.35684219182588195,0.6207914555981157,5.0192063207558935,0.21166517063945844,4.6350081749799585,0.030510207341618478,292482.35816342756,38.036050133898875,0.0006712041294292443,4.72129861635169,0.002552302742629427,0.022770285767527768,0
0.9252791444740566,242.352419406121,252.50742563338608,25713.5,224.24363928931336,2459.571860025211,0.09565293950746538,25729.0,0.23111387206541678,111.0,144.0,431288293.0,1.585997448751787,24.0,5.5414684702782715,229.0,13.526272136079415,128.17501651832563,129.0,74.0,155.0,9.103934760141788,129.47096392110126,0.3922042925472429,431288293.0,0.4084091973811091,333.8956391860539,13.970035590178169,15.373877614655088,1.2406890082281283,1.8244431276823976,0.302733855209674,0.7149431914128114,0.22260442089402646,0.8321522265508954,0.2522677113534805,0.9001767701446611,0.8965279100047657,0.9955146949992917,0.9761070498160367,-0.4185668664059453,0.8460988773470508,0.168931019313453,3.6864059148851545,0.31476040691325047,2.403830234388475,0.7645837113888034,0.4744880053257974,7.372811829770311,2.056937049414149,0.5317942457230178,3.715070796427065,8102.552256208947,0.3149190507290974,5.426241929945586,10507.960239418555,0.5774511554622269,13.888647051964709,58.091220024097325,797.7272727272727,4.711258388002227,0.08793611447779133,0.05387509261797979,0.7096655443003852,0.007772193524372955,1441.934002284312,0.2566852911221151,1.3007008767891957,14.269491951683788,108.73246951126299,1567.838287344498,8.109367280361951,0.10983200481301506,4.970634904861621,1510.468052999387,0.2668179909052307,0.21786699832873407,86.74031893510923,0.532872504022099,7.686021689675942,0.06827758959600388,243.20985401459853,0.22190680110821034,2.1475937716447335,13.093065693430656,97101.73996350366,1208744.9607664233,8476.942695227803,0.16845073225458068,321.07481751824815,0.29295147583781767,0.5581275477768853,6.394897493158575,0.11273367142704518,4.973811625326009,0.0425978467876715,96550.64720333394,37.12901253271055,0.0006477431885272683,6.043676654304295,0.0042385885961908985,0.019826488453787067,0
0.868680084378788,235.45918601902014,228.66788143506292,30412.5,204.53870557876314,1774.0256121068624,0.058332120414528975,30420.0,0.3484745832735073,96.0,123.0,382407361.0,1.2823005912057228,18.0,7.675211094449948,243.0,10.956927686939066,111.09260355029586,114.0,62.0,181.0,7.366346308787579,112.12011043975568,0.27886881713975037,382407361.0,0.5540535570174472,229.35260143980335,8.626098449714906,13.63135822545011,0.5681827259978738,1.327126107223077,0.2339395930860732,0.7000935015984924,0.19161011445352386,0.7496951472831266,0.19683330942609173,0.9103928181016874,0.9083475462209245,0.9964869653251353,0.9791578460970096,-0.37815684161124746,0.7781040235204744,0.16210322605754593,2.89012072452579,0.4539433531109708,2.009191625127343,0.7293022801051469,0.6584401941290168,5.780241449051579,1.7509895147565835,0.3902664250772876,3.3099962126378326,10258.224457593687,0.3372197389084053,4.742816929413804,16854.309204470745,0.41862048243287814,8.6422419460881,60.550887573964495,523.5726824457594,8.260109738882404,0.15586110896802285,0.04534889774967868,0.39834917366969924,0.012620023254977589,1712.5662204607975,0.29397142179622415,1.0896621349560613,8.707876401867384,153.88398110334987,1367.1952830671416,18.32824380931423,0.2222634485945612,4.971103316718716,1480.2522439093736,0.2527389716903217,0.19119000657462198,125.71547869298507,0.5172217814768101,4.681975489950389,0.13419057013890728,204.88272921108742,0.2184250844467883,2.195308486504426,9.510660980810234,487918.6417910448,4381328.297441364,54685.62134468874,0.34913148361690094,308.4648187633262,0.32885375134682965,0.594869890952501,5.078418667206785,0.2418319944572408,4.8664192110991396,0.03083497698882314,486866.8912534495,57.84226946572489,0.0004922167972279028,6.37033685775885,0.0027470459623038903,0.023854061672626083,0
0.9676495769612736,247.1108187931697,264.9150807334305,26086.0,239.1166792677646,2362.400287149947,0.09056199828068492,26101.0,0.2423567892057679,100.0,133.0,364663316.0,1.5249160480301673,18.0,7.748279257940531,240.0,12.095948059211345,116.78770928316922,116.0,70.0,170.0,6.828651954415097,118.19999688182521,1.2963618291596402,364663316.0,0.4777506142601915,331.87022325344014,10.942433089253235,26.043871222762053,3.5990515828311183,1.985802128234385,0.2964227236749855,0.7400592196583448,0.21695254593238747,0.8177590926182388,0.24843869006040892,0.9027685652994398,0.8992751366513836,0.9956148727272423,0.9767244954830273,-0.4245171731638357,0.8412075404094737,0.1649381914566962,3.24346720424935,0.39456388920102026,2.306647693455385,0.8191399301183305,0.6048734358516035,6.4869344084987,1.983479973632548,0.5705562129773425,3.5425258657222116,8491.125435807056,0.3253180121760491,5.442042853042422,12469.768782805257,0.608817441201321,10.908930692310639,58.82812919045247,614.1981533274587,6.2841108970247355,0.1210496261644001,0.05412040854190376,0.5828569182260851,0.01345040587032175,1285.6946711998257,0.23217241652741916,1.6131498860596687,12.19335911225935,98.02321077362996,976.5527131082231,10.477563152668573,0.16927370534246225,5.049102214962279,1568.5701517250318,0.2810797121531165,0.21167771349756712,74.76158563431282,0.5479132077193862,6.903950479295783,0.11414031299048902,252.1013215859031,0.22211570183780008,2.60063575850492,11.281057268722467,190913.22907488988,1743084.0352422907,21056.23831949564,0.2937148376237426,334.7533039647577,0.2949368316870112,0.5623654648840128,4.900043885098324,0.2139664792377881,5.021759026116544,0.043484923949273974,190384.39117700708,39.0575452978826,0.0007055487367161308,5.784376200216503,0.004182980225559898,0.023976450339135993,0
